name,id,lon,lat
Ba Don,48847,106.41666666666667,17.75
Con Co,48/89,107.33333333333333,17.166666666666668
Khe Sanh,48/90,106.73333333333333,16.633333333333333
Hue,48852,107.58333333333333,16.433333333333334
A Luoi,48/91,107.28333333333333,16.216666666666665
Nam Dong,48/92,107.71666666666667,16.166666666666668
Da Nang,48855.0,108.2,16.033333333333335
Tam Ky,48/93,108.46666666666667,15.566666666666666
Tra My,48/94,108.25,15.333333333333334
Ly Son,48/85,109.15,15.383333333333333
Q.Ngai,48863,108.8,15.116666666666667
Hoai Nhon,48/96,109.03333333333333,14.516666666666667
Quy Nhon,48870,109.21666666666667,13.766666666666667
Son Hoa,48/97,108.98333333333333,13.05
Tuy Hoa,48873,109.28333333333333,13.083333333333334
Nha Trang,48877.0,109.2,12.216666666666667
Cam Ranh,48879,109.15,11.916666666666666
Truong Sa,48920,111.91666666666667,8.65
Phan Rang,48890,108.98333333333333,11.583333333333334
Phan Thiet,48887,108.1,10.933333333333334
La Gi(Ham Tan),48888,107.76666666666667,10.683333333333334
Phu Quy,48889,108.93333333333334,10.516666666666667
Dak To,48861.0,107.83333333333333,14.65
Kon Tum,48865,108,14.333333333333334
Playcu,48866,108.01666666666667,13.966666666666667
An Khe,48867,108.65,13.95
Ayunpa(Cheo Reo),48872.0,108.45,13.383333333333333
Buon Ho,48878,108.26666666666667,12.916666666666666
M Drak,48/98,108.76666666666667,12.733333333333333
B.M. Thuot,48875,108.05,12.666666666666666
Dak Nong,48886.0,107.68333333333334,12.0
Da Lat,48880,108.45,11.95
Lien Khuong,48881,108.38333333333334,11.75
Bao Loc,48884,107.81666666666666,11.533333333333333
Phuoc Long,48883,106.98333333333333,11.833333333333334
Dong Phu,48895.0,106.9,11.533333333333333
Tay Ninh,48898.0,106.11666666666666,11.333333333333334
Tri An,48/78,107.1,11.1
Bien Hoa,48896.0,106.81666666666666,10.916666666666666
Vung Tau,48903,107.08333333333333,10.366666666666667
Con Dao,48918.0,106.6,8.683333333333334
Moc Hoa,48906.0,105.93333333333334,10.783333333333333
My Tho,48912,106.4,10.35
Ba Tri,48902,106.6,10.05
Cao Lanh,48908,105.63333333333334,10.466666666666667
Cang Long,48904,106.2,9.983333333333333
Chau Doc,48909.0,105.13333333333334,10.7
Can Tho,48910,105.76666666666667,10.033333333333333
Soc Trang,48913,105.96666666666667,9.6
Rach Gia,48907,105.06666666666666,10
Phu Quoc,48917,103.96666666666667,10.216666666666667
Bac Lieu,48915,105.71666666666667,9.283333333333333
Ca Mau,48914.0,105.15,9.183333333333334
