time,Muong Te,Sin Ho,Tam Duong,Than Uyen,Muong Lay(Lai Chau),Tuan Giao,Pha Din,Dien Bien,Phieng Lanh,Son La,Song Ma,Co Noi,Yen Chau,Bac Yen,Phu Yen,Moc Chau,Bac Ha,Sa Pa,Mu.C.Chai,Yen Bai,Van Chan,Luc Yen,Ha Giang,Hoang S Phi,Bac Me,Bac Quang,T.Quang,Ham Yen,Chiem Hoa,Cho Ra,Ngan Son,Bac Can,Thai Nguyen,Minh Dai,Phu Ho,Viet Tri,Vinh Yen,Tam Dao,Cao Bang,Bao Lac,Nguyen Binh,T. Khanh,That Khe,Lang Son,Mau Son,Bac Son,Huu Lung,Dinh Lap,Quang Ha,Tien Yen,Co To,Cua Ong,Bai Chay,Uong Bi,Hiep Hoa,Luc Ngan,Son Dong,Bac Giang,Phu Lien,Hon Dau,Bach. L.Vi,Ba Vi,Son Tay,Lang,Ha Dong,Chi Linh,Hai Duong,Hung Yen,Nam Dinh,Van Ly,Phu Ly,Nho Quan,Ninh Binh,Thai Binh,Hoi Xuan,Yen Dinh,Sam Son,Bai Thuong,Thanh Hoa,Nhu Xuan,Tinh Gia,Quy Chau,Tuong Duong(Cua Rao),Quy Hop,Tay Hieu,Con Cuong,Quynh Luu,Do Luong,Hon Ngu,Vinh,Huong Khe,Ky Anh,Dong Hoi,Ba Don,Con Co,Khe Sanh,Hue,A Luoi,Nam Dong,Da Nang,Tam Ky,Tra My,Ly Son,Q.Ngai,Hoai Nhon,Quy Nhon,Son Hoa,Tuy Hoa,Nha Trang,Cam Ranh,Truong Sa,Phan Rang,Phan Thiet,La Gi(Ham Tan),Phu Quy,Dak To,Kon Tum,Playcu,An Khe,Ayunpa(Cheo Reo),Buon Ho,M Drak,B.M. Thuot,Dak Nong,Da Lat,Lien Khuong,Bao Loc,Phuoc Long,Dong Phu,Tay Ninh,Tri An,Bien Hoa,Vung Tau,Con Dao,Moc Hoa,My Tho,Ba Tri,Cao Lanh,Cang Long,Chau Doc,Can Tho,Soc Trang,Rach Gia,Phu Quoc,Bac Lieu,Ca Mau
1980-1-11,0,0.0,0,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.3,0.0,0.9,0.3,0.2,0.7,0.2,0.6,1.5,3.8,0.0,1.1,0.4,0.0,0.0,0.0,0,0,1.2,0.3,0,0.0,2.8,0.0,0.0,0.0,0,0.0,1.0,0.1,1.7,0.6,1.6,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6,0,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3.2
1980-1-12,0,0.0,0,0.0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.2,0.2,0.4,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-13,0,0.0,0,0.0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0,0.1,0.0,0.0,0.1,0.0,0,1.6,0,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0,0,0.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.2,0.1,0.0,0.0,0.3,0.0,0.7,0.0,0.7,0.0,0,0,0.0,0,0.2,0.8,0.30000000000000004,4.4,0,0,0.0,0.1,0.3,0.4,0.0,0.0,0.2,0.0,0.9,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1,0,0.0,0.1,0.0,0.1,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0
1980-1-14,0,0.0,0,0.0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0,1.5,0,0.7,0.2,0.3,0.7,0.0,0,4.6,0,0.0,0.0,0.0,0.0,0,0.0,0.4,1.1,1.1,0,0.5,0.0,0,0.0,0,0.0,0.0,19.6,0,0.0,0.0,0,0.0,0.0,0,0.1,0.0,0.0,0,0.0,0.0,0.1,0.3,0.0,0,0.0,0,0.0,0.0,0.0,0.4,1.2,1.4,1.3,0.7,0.8,1,0.7000000000000001,0.0,0,0.8,2.1,0.4,8.200000000000001,0.4,0,0.2,0.2,2.3000000000000003,0.0,4.3,30.1,3.3000000000000003,0.4,10.9,0.0,0.7000000000000001,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-15,0,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.2,0.1,2.5,0,0.0,0.1,0.0,0.0,0.0,0,1.5,0,0.0,0.0,0.0,0.0,0,0.0,0.8,0.1,0.8,0,0.2,0.0,0,0.0,0,0.0,0.0,3.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,0.1,0,0.0,0,0,0.0,0,0.8,0,0,0.4,0.8,1.6,0.2,1.4,6.9,2.5,0.4,10.8,0.0,0,12.8,0.0,5.9,2.0,8.0,6.9,6.8,0.0,2,1.6,1.4,0.0,0.1,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.2,0.0,0,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-16,0.1,0.2,1.4,2.7,4.1,0.1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.8,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0.0,0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.0,0,0.0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0,0.4,0.0,0,0.5,1.7000000000000002,0.1,10.1,2.2,1.6,2.5,0.2,0.0,0.0,0.0,0.0,0,0.8,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-17,0,0.0,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,0.3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.3,0.0,0,0.0,0,0.0,0.0,8.0,0.4,0.0,0.0,0.4,1.5,0.2,0,0.0,0.0,0.6,0,0.0,0.0,1.4,0.5,0.0,0,0.0,0.4,0.0,0.0,0.0,0.3,0.2,0.8,0.2,0.2,0.1,0.3,0,0.0,0,0.5,0.5,0.2,0.30000000000000004,0.8,0,0.2,0.5,0.7000000000000001,0.4,2.6,2.6,4.2,3.1,13.3,2.1,1.7000000000000002,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0,9.099999,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-18,0,0.2,0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.8,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.3,0,0.4,0.0,0.0,0,0,1.3,0.0,0,0.0,0,0.0,0.0,3.4000000000000004,1.1,0.0,0.0,0.2,0.0,0.0,0,0.0,0.0,0.7,0,0.0,0.7,0.2,0.0,0.0,0,0.0,0.3,0.2,0.0,0.2,0.1,0.6,0.7,0.3,0.1,0.1,0.4,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.2,0.0,0.0,0.5,0.5,0.0,4.7,2.0,5.1000000000000005,3.0,0.1,0,0.5,1.5,1.5,20.3,0.0,29,28.1,7.5,1.9,0.2,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.9,0.0,0,0.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0,0.0
1980-1-19,0,0.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5,0.6,0,1.4,0.0,0.0,1.4,0.0,0.6,0.2,2.9,2.3,2.7,0.6,2.7,1.9,4.0,0.0,1.8,1.4,2.2,1,3.7,0,4.0,4.9,2.5,0.7,0.0,0.6,0.0,0.3,0.3,0.0,0.0,0.2,0.0,0.0,3.2,0,0.0,1.1,0.6,0.1,0.0,1.5,1.3,2.6,1.6,0.4,0.1,1.2,0.8,0.9,0.3,0.3,0.3,0.4,0,0.6000000000000001,0,0.1,0.2,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.1,0.7000000000000001,0.8,0.2,0.6000000000000001,3.1,0.4,0.2,7.3,9.8,3,1.9,1.2,0.7,0.0,0.1,0.4,0,1.7,0,0.0,0.0,0,0.0,0.0,0,2.1,0.0,0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1980-1-20,0,0.4,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.4,0,1.2,0.0,5.7,1.2,0.0,0.9,1.3,4.2,6.0,2.4,0.0,2.0,0.2,1.1,1.3,1.8,0.4,0.1,1.4,2.4,0,3.3,3,4.7,3.1,3.1,1.9,0.8,2.6,0.1,0.0,0.0,0,0.0,0.0,0.7,2.5,1.0,1.8,0,0.0,0.0,0.7,0.3,0.1,0.6,0.9,2.3,0.2,1.4,0.2,0.6,1.1,1.4,1.6,0.6000000000000001,2.5,0,0.2,2.1,2.5,0.9,0,0.2,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,0.6000000000000001,3.5,2.2,0.1,0,0.0,0.0,0.1,3.5,0.6,0.8,9.0,0.3,3.1,0.1,2.5,0.0,0,0.1,0,0.0,0.0,0,0.0,0.0,0,0.1,0.0,0,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
